name_product,product_link,price_sale,price_original,discount,sold,rating,image_link,sold_numeric,sold_info
TORCH JAKET LIPAT PACKABLE WATER REPELLENT JACKET JUNHA,https://www.tokopedia.com/torch-id/torch-jaket-lipat-packable-water-repellent-jacket-junha?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,319000,319000,Tidak Ada Diskon,100+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/27/57f78c29-4d48-4d5a-9296-8814d1a9298b.jpg,100,+ terjual
TORCH PACKABLE JACKET JUNHA BLACK GREY,https://www.tokopedia.com/torch-id/torch-packable-jacket-junha-black-grey?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,319000,319000,Tidak Ada Diskon,50+ terjual,4.8,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/2/20/921d8ea5-1ea3-49d2-a1d8-225bfecabb27.png,50,+ terjual
TORCH DOMPET GANTUNG WALLET GANGNAM,https://www.tokopedia.com/torch-id/torch-dompet-gantung-wallet-gangnam?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,118000,118000,Tidak Ada Diskon,30+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/1/e818f6b3-a134-4cf4-8999-375eaaf4041d.jpg,30,+ terjual
TORCH TOMIOKA OFFICE BAG BLACK,https://www.tokopedia.com/torch-id/torch-tomioka-office-bag-black?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,248000,248000,Tidak Ada Diskon,30+ terjual,4.8,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/13/6bab3045-73a3-49ff-9b8a-7cdc03006c12.jpg,30,+ terjual
TORCH MEGURO SLING BAG 3LITER NAVY,https://www.tokopedia.com/torch-id/torch-meguro-sling-bag-3liter-navy?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,158000,158000,Tidak Ada Diskon,250+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/13/4e08db5f-17da-4748-9ef1-a5d504507c26.jpg,250,+ terjual
TORCH MEGURO SLING BAG 3LITER GREY,https://www.tokopedia.com/torch-id/torch-meguro-sling-bag-3liter-grey?extParam=whid%3D602001%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,158000,158000,Tidak Ada Diskon,250+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/4/6ca21814-4302-4401-ad51-b96160e6a8dc.jpg,250,+ terjual
TORCH MEGURO SLING BAG 3LITER HITAM,https://www.tokopedia.com/torch-id/torch-meguro-sling-bag-3liter-hitam?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,158000,158000,Tidak Ada Diskon,100+ terjual,5.0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/13/b3693b7d-ea90-4e12-82c9-2f9b51c51c9c.jpg,100,+ terjual
TORCH TAS RANSEL PUNGGUNG LAPTOP PRIA WANITA TOTE BAG BACKPACK JEJU,https://www.tokopedia.com/torch-id/torch-tas-ransel-punggung-laptop-pria-wanita-tote-bag-backpack-jeju?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,320380,386000,17%,500+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/4/6/8eb37947-3450-4bac-8de5-ddbe91ee91cd.png,500,+ terjual
TORCH TAS RANSEL PUNGGUNG LAPTOP PRIA WANITA TOTE BAG BACKPACK GUMI,https://www.tokopedia.com/torch-id/torch-tas-ransel-punggung-laptop-pria-wanita-tote-bag-backpack-gumi?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,336980,406000,17%,500+ terjual,5.0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/9/2/26001967-7a68-42d3-9c69-fc35ebf19ebb.png,500,+ terjual
TORCH DOMPET PANJANG LONG WALLET NOVAIS,https://www.tokopedia.com/torch-id/torch-dompet-panjang-long-wallet-novais?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,118000,118000,Tidak Ada Diskon,100+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/4/27/723de446-95ec-4c04-8c02-2ecc92e9ebf0.jpg,100,+ terjual
